ticker,n_mu,x,std_returns
SLV,5,0.5,1.3353458722821807
SLV,5,0.75,1.3785613301138866
SLV,5,1.0,1.405376913458169
SLV,8,0.0,1.1271039496050674
SLV,8,0.25,1.1794203958398544
SLV,8,0.5,1.2566754048371802
SLV,8,0.75,1.34993657369545
SLV,8,1.0,1.405376913458169
SLV,12,0.0,1.0338571934021388
SLV,12,0.25,1.0783038150960143
SLV,12,0.5,1.1890453462582735
SLV,12,0.75,1.3180599391491903
SLV,12,1.0,1.405376913458169
SLV,18,0.0,0.9268641915831918
SLV,18,0.25,1.0136868704807254
SLV,18,0.5,1.1666497707284422
SLV,18,0.75,1.29935625469414
SLV,18,1.0,1.405376913458169
SLV,25,0.0,0.886502029667051
SLV,25,0.25,0.9647653614945462
SLV,25,0.5,1.126782387623636
SLV,25,0.75,1.2728886848649306
SLV,25,1.0,1.405376913458169
SLV,35,0.0,0.8247017216939377
SLV,35,0.25,0.9311124417833682
SLV,35,0.5,1.037955002988894
SLV,35,0.75,1.2231666829267396
SLV,35,1.0,1.405376913458169
SLV,50,0.0,0.8201360952734763
SLV,50,0.25,0.8819259090142441
SLV,50,0.5,1.0214294630796668
SLV,50,0.75,1.21760823408139
SLV,50,1.0,1.405376913458169
