ticker,n_mu,x,sortino
AAPL,12,0.75,1.0012738131334595
AAPL,12,1.0,1.1335521595890115
AAPL,18,0.0,0.8391398181543243
AAPL,18,0.25,0.9163241389397467
AAPL,18,0.5,0.9671283300424451
AAPL,18,0.75,0.9723561248336071
AAPL,18,1.0,1.1335521595890115
AAPL,25,0.0,0.6492006590185756
AAPL,25,0.25,0.7111626987354495
AAPL,25,0.5,0.8357470902713272
AAPL,25,0.75,0.9221588715659726
AAPL,25,1.0,1.1335521595890115
AAPL,35,0.0,0.5993363621998085
AAPL,35,0.25,0.640229682195861
AAPL,35,0.5,0.7255523984781549
AAPL,35,0.75,0.8658349632776884
AAPL,35,1.0,1.1335521595890115
AAPL,50,0.0,0.6266614324852421
AAPL,50,0.25,0.673939896835412
AAPL,50,0.5,0.7626894893233733
AAPL,50,0.75,0.8799717835554993
AAPL,50,1.0,1.1335521595890115
GOOGL,1,0.0,0.9086001110593012
GOOGL,1,0.25,0.930696368707484
GOOGL,1,0.5,0.9438901903054139
GOOGL,1,0.75,0.9341582205055762
GOOGL,1,1.0,0.9362830246905641
GOOGL,3,0.0,0.9419928577345353
GOOGL,3,0.25,0.9585435154151388
GOOGL,3,0.5,0.9543692530012232
GOOGL,3,0.75,0.9364223153493735
GOOGL,3,1.0,0.9362830246905641
GOOGL,5,0.0,0.8788585060312335
GOOGL,5,0.25,0.9275691643558925
GOOGL,5,0.5,0.9285694892836736
GOOGL,5,0.75,0.9263247475066736
GOOGL,5,1.0,0.9362830246905641
GOOGL,8,0.0,0.8372569629830365
GOOGL,8,0.25,0.8987764514975322
GOOGL,8,0.5,0.9567715937976203
GOOGL,8,0.75,0.9568772075953883
GOOGL,8,1.0,0.9362830246905641
GOOGL,12,0.0,0.7980998729007048
GOOGL,12,0.25,0.823908090290951
GOOGL,12,0.5,0.8957784972504684
GOOGL,12,0.75,0.9256937007827365
GOOGL,12,1.0,0.9362830246905641
GOOGL,18,0.0,0.652053001800866
GOOGL,18,0.25,0.7189560068391749
GOOGL,18,0.5,0.8666758227479923
GOOGL,18,0.75,0.861731536249802
GOOGL,18,1.0,0.9362830246905641
GOOGL,25,0.0,0.6871603096068689
GOOGL,25,0.25,0.6884606899149914
GOOGL,25,0.5,0.8152574130429763
GOOGL,25,0.75,0.8451302776766313
GOOGL,25,1.0,0.9362830246905641
GOOGL,35,0.0,0.5946657941496031
GOOGL,35,0.25,0.6298550987910917
GOOGL,35,0.5,0.8012778551791877
GOOGL,35,0.75,0.8218883373942362
GOOGL,35,1.0,0.9362830246905641
GOOGL,50,0.0,0.6723938712088425
GOOGL,50,0.25,0.5994818374248987
GOOGL,50,0.5,0.7582931682741801
GOOGL,50,0.75,0.8095338570197191
GOOGL,50,1.0,0.9362830246905641
BTC-USD,1,0.0,1.2284797579269526
BTC-USD,1,0.25,1.25258105054104
BTC-USD,1,0.5,1.2300539483759791
BTC-USD,1,0.75,1.2232254934872027
BTC-USD,1,1.0,1.2418300424854567
BTC-USD,3,0.0,1.1499478679536395
BTC-USD,3,0.25,1.2196938770820396
