ticker,n_mu,x,kurtosis
ETH-USD,35,0.25,281.8348464668309
ETH-USD,35,0.5,371.1881786607774
ETH-USD,35,0.75,367.4661043971753
ETH-USD,35,1.0,22.886718222061955
ETH-USD,50,0.0,183.0570392730921
ETH-USD,50,0.25,42.12989723180084
ETH-USD,50,0.5,32.76786860311251
ETH-USD,50,0.75,27.645338954269278
ETH-USD,50,1.0,22.886718222061955
GLD,1,0.0,23.399846640846814
GLD,1,0.25,22.300305608939805
GLD,1,0.5,22.144078279845484
GLD,1,0.75,21.49392138523446
GLD,1,1.0,20.591740192279403
GLD,3,0.0,25.545629121923156
GLD,3,0.25,24.108702015380405
GLD,3,0.5,23.518760971927183
GLD,3,0.75,22.979898242183243
GLD,3,1.0,20.591740192279403
GLD,5,0.0,29.0661150772036
GLD,5,0.25,26.568113768508606
GLD,5,0.5,25.29380642735998
GLD,5,0.75,23.374264652558207
GLD,5,1.0,20.591740192279403
GLD,8,0.0,35.318369857700226
GLD,8,0.25,30.51508661849084
GLD,8,0.5,27.775466698132224
GLD,8,0.75,24.25549423740404
GLD,8,1.0,20.591740192279403
GLD,12,0.0,49.08477721958973
GLD,12,0.25,35.84832423572018
GLD,12,0.5,30.51740890228669
GLD,12,0.75,24.935731950661022
GLD,12,1.0,20.591740192279403
GLD,18,0.0,50.93751943979829
GLD,18,0.25,38.97382017824982
GLD,18,0.5,33.460113430867764
GLD,18,0.75,25.878135040045724
GLD,18,1.0,20.591740192279403
GLD,25,0.0,58.05485316932419
GLD,25,0.25,43.5214929949953
GLD,25,0.5,36.94550606050854
GLD,25,0.75,27.056521154106083
GLD,25,1.0,20.591740192279403
GLD,35,0.0,75.45734804888471
GLD,35,0.25,52.88923515564434
GLD,35,0.5,40.913900997459535
GLD,35,0.75,29.583543699278184
GLD,35,1.0,20.591740192279403
GLD,50,0.0,81.54674001837215
GLD,50,0.25,52.55353337776526
GLD,50,0.5,39.43049175081823
GLD,50,0.75,30.01825018383616
GLD,50,1.0,20.591740192279403
SLV,1,0.0,22.546894936607206
SLV,1,0.25,21.42103286314673
SLV,1,0.5,20.990365149101276
SLV,1,0.75,20.3894365914673
SLV,1,1.0,20.28449159800499
SLV,3,0.0,24.664175112279263
SLV,3,0.25,22.94610473419323
SLV,3,0.5,21.483506798176595
SLV,3,0.75,20.887129827970487
SLV,3,1.0,20.28449159800499
SLV,5,0.0,27.62043448301149
SLV,5,0.25,25.22296813369972
SLV,5,0.5,22.791864792828203
SLV,5,0.75,21.086931318912548
SLV,5,1.0,20.28449159800499
SLV,8,0.0,33.18243908928452
SLV,8,0.25,30.01902492797934
SLV,8,0.5,25.62813163782522
SLV,8,0.75,22.047017164334367
SLV,8,1.0,20.28449159800499
SLV,12,0.0,38.99053273829454
SLV,12,0.25,34.984389462801566
SLV,12,0.5,28.143026073584434
SLV,12,0.75,23.104988453772748
SLV,12,1.0,20.28449159800499
SLV,18,0.0,48.874618868130746
SLV,18,0.25,39.99635999025281
SLV,18,0.5,29.607624640758175
SLV,18,0.75,23.839455348145616
SLV,18,1.0,20.28449159800499
SLV,25,0.0,52.88427091630655
SLV,25,0.25,43.719546538462815
SLV,25,0.5,31.51988875004237
SLV,25,0.75,24.878191582129944
SLV,25,1.0,20.28449159800499
SLV,35,0.0,64.76434100363447
SLV,35,0.25,47.73494290385506
SLV,35,0.5,36.766217915266594
SLV,35,0.75,27.234877482778483
SLV,35,1.0,20.28449159800499
SLV,50,0.0,61.52763941413891
SLV,50,0.25,52.601151542482505
SLV,50,0.5,37.73838054368634
SLV,50,0.75,27.23405800705113
SLV,50,1.0,20.28449159800499
