ticker,n_mu,x,win_rate
BTC-USD,25,1.0,0.43514305934688097
BTC-USD,35,0.0,0.42821757152967344
BTC-USD,35,0.25,0.42523506217773727
BTC-USD,35,0.5,0.41866343140228496
BTC-USD,35,0.75,0.4279648164998484
BTC-USD,35,1.0,0.43514305934688097
BTC-USD,50,0.0,0.3682135274491963
BTC-USD,50,0.25,0.42103932868264077
BTC-USD,50,0.5,0.4133050247699929
BTC-USD,50,0.75,0.42397128702861187
BTC-USD,50,1.0,0.43514305934688097
ETH-USD,1,0.0,0.4260438782731777
ETH-USD,1,0.25,0.4264482863208978
ETH-USD,1,0.5,0.42847032655949846
ETH-USD,1,0.75,0.4295318976847639
ETH-USD,1,1.0,0.43130118289353964
ETH-USD,3,0.0,0.42670104135072284
ETH-USD,3,0.25,0.42685269436861795
ETH-USD,3,0.5,0.4303407137802042
ETH-USD,3,0.75,0.43013850975634416
ETH-USD,3,1.0,0.43130118289353964
ETH-USD,5,0.0,0.4245273480942271
ETH-USD,5,0.25,0.42599332726721256
ETH-USD,5,0.5,0.4294307956728339
ETH-USD,5,0.75,0.42836922454756854
ETH-USD,5,1.0,0.43130118289353964
ETH-USD,8,0.0,0.42154483874229093
ETH-USD,8,0.25,0.42270751187948646
ETH-USD,8,0.5,0.42735820442826816
ETH-USD,8,0.75,0.42634718430896773
ETH-USD,8,1.0,0.43130118289353964
ETH-USD,12,0.0,0.42371853199878684
ETH-USD,12,0.25,0.4241229400465068
ETH-USD,12,0.5,0.42675159235668786
ETH-USD,12,0.75,0.4241229400465069
ETH-USD,12,1.0,0.43130118289353964
ETH-USD,18,0.0,0.42422404205843695
ETH-USD,18,0.25,0.42558891921949255
ETH-USD,18,0.5,0.34516226872914774
ETH-USD,18,0.75,0.34111818825194623
ETH-USD,18,1.0,0.43130118289353964
ETH-USD,25,0.0,0.4182084723485997
ETH-USD,25,0.25,0.4197755535335153
ETH-USD,25,0.5,0.34506116671721765
ETH-USD,25,0.75,0.34121929026387626
ETH-USD,25,1.0,0.43130118289353964
ETH-USD,35,0.0,0.4154787180264887
ETH-USD,35,0.25,0.33581033262561927
ETH-USD,35,0.5,0.26129814983318167
ETH-USD,35,0.75,0.2590739055707208
ETH-USD,35,1.0,0.43130118289353964
ETH-USD,50,0.0,0.3417248003235265
ETH-USD,50,0.25,0.42235365483773135
ETH-USD,50,0.5,0.42877363259528867
ETH-USD,50,0.75,0.42998685673844905
ETH-USD,50,1.0,0.43130118289353964
GLD,1,0.0,0.42793688676743563
GLD,1,0.25,0.42893131795279765
GLD,1,0.5,0.43231238398302835
GLD,1,0.75,0.43410236011667985
GLD,1,1.0,0.43615751789976137
GLD,3,0.0,0.42535136568549453
GLD,3,0.25,0.42707504640678867
GLD,3,0.5,0.43204720233359845
GLD,3,0.75,0.4329090426942456
GLD,3,1.0,0.43615751789976137
GLD,5,0.0,0.43184831609652613
GLD,5,0.25,0.4300583399628746
GLD,5,0.5,0.4332405197560329
GLD,5,0.75,0.4321797931583135
GLD,5,1.0,0.43615751789976137
GLD,8,0.0,0.42992574913815956
GLD,8,0.25,0.426544683107929
GLD,8,0.5,0.4332405197560328
GLD,8,0.75,0.43065499867409174
GLD,8,1.0,0.43615751789976137
GLD,12,0.0,0.43635640413683374
GLD,12,0.25,0.42800318217979316
GLD,12,0.5,0.43072129408644927
GLD,12,0.75,0.4269424555820737
GLD,12,1.0,0.43615751789976137
GLD,18,0.0,0.4322460885706709
GLD,18,0.25,0.42183770883054894
GLD,18,0.5,0.4275391142932909
GLD,18,0.75,0.42362768496420045
GLD,18,1.0,0.43615751789976137
GLD,25,0.0,0.43416865552903733
GLD,25,0.25,0.423693980376558
GLD,25,0.5,0.42727393264386104
GLD,25,0.75,0.4220365950676213
GLD,25,1.0,0.43615751789976137
GLD,35,0.0,0.41315300981172104
GLD,35,0.25,0.39916467780429593
GLD,35,0.5,0.420710686820472
GLD,35,0.75,0.4183903473879607
GLD,35,1.0,0.43615751789976137
GLD,50,0.0,0.4261469106337841
GLD,50,0.25,0.40963935295677545
GLD,50,0.5,0.42634579687085655
GLD,50,0.75,0.4095730575444179
GLD,50,1.0,0.43615751789976137
SLV,1,0.0,0.3890214797136038
SLV,1,0.25,0.390612569610183
SLV,1,0.5,0.3937284539909838
SLV,1,0.75,0.3979713603818616
SLV,1,1.0,0.40188278971095204
SLV,3,0.0,0.38743038981702466
SLV,3,0.25,0.38849111641474404
SLV,3,0.5,0.3910766374966852
SLV,3,0.75,0.39518695306284807
SLV,3,1.0,0.40188278971095204
SLV,5,0.0,0.38849111641474404
SLV,5,0.25,0.38895518430124637
SLV,5,0.5,0.39074516043489793
SLV,5,0.75,0.39551843012463533
SLV,5,1.0,0.40188278971095204
SLV,8,0.0,0.3934632723415539
SLV,8,0.25,0.3955847255369928
SLV,8,0.5,0.39372845399098383
SLV,8,0.75,0.394325112702201
SLV,8,1.0,0.40188278971095204
SLV,12,0.0,0.39962874569079826
SLV,12,0.25,0.40380535666931844
SLV,12,0.5,0.39757358790771674
SLV,12,0.75,0.39657915672235483
SLV,12,1.0,0.40188278971095204
SLV,18,0.0,0.39578361177406524
SLV,18,0.25,0.40075576770087507
SLV,18,0.5,0.3937947494033413
SLV,18,0.75,0.3933969769291965
SLV,18,1.0,0.40188278971095204
SLV,25,0.0,0.39147440997083005
SLV,25,0.25,0.39047997878546803
SLV,25,0.5,0.39193847785733227
SLV,25,0.75,0.39054627419782556
SLV,25,1.0,0.40188278971095204
SLV,35,0.0,0.40141872182444976
SLV,35,0.25,0.38988332007425086
SLV,35,0.5,0.39492177141341817
SLV,35,0.75,0.38617077698223284
SLV,35,1.0,0.40188278971095204
SLV,50,0.0,0.3930654998674092
SLV,50,0.25,0.3926677273932644
SLV,50,0.5,0.3979713603818616
SLV,50,0.75,0.38915407053831874
SLV,50,1.0,0.40188278971095204
