ticker,n_mu,x,std_losses
BTC-USD,8,0.75,0.05735597845288298
BTC-USD,8,1.0,0.05980953334714761
BTC-USD,12,0.0,0.04729388465715407
BTC-USD,12,0.25,0.04743557553221885
BTC-USD,12,0.5,0.05302928183512512
BTC-USD,12,0.75,0.05575403208311438
BTC-USD,12,1.0,0.05980953334714761
BTC-USD,18,0.0,0.045719871353476764
BTC-USD,18,0.25,0.04669109325943092
BTC-USD,18,0.5,0.05236619529889641
BTC-USD,18,0.75,0.055090813891916855
BTC-USD,18,1.0,0.05980953334714761
BTC-USD,25,0.0,0.04312419096360207
BTC-USD,25,0.25,0.04476585279117559
BTC-USD,25,0.5,0.050568094275886925
BTC-USD,25,0.75,0.054317743151171834
BTC-USD,25,1.0,0.05980953334714761
BTC-USD,35,0.0,0.04172835104630216
BTC-USD,35,0.25,0.042514025758420615
BTC-USD,35,0.5,0.04808642926540363
BTC-USD,35,0.75,0.05308920118942728
BTC-USD,35,1.0,0.05980953334714761
BTC-USD,50,0.0,0.041097260662851735
BTC-USD,50,0.25,0.04120093838858752
BTC-USD,50,0.5,0.047018682888118446
BTC-USD,50,0.75,0.051858919611357766
BTC-USD,50,1.0,0.05980953334714761
ETH-USD,1,0.0,0.05914392654814057
ETH-USD,1,0.25,0.059524351399692664
ETH-USD,1,0.5,0.060748776222254997
ETH-USD,1,0.75,0.06126066814999237
ETH-USD,1,1.0,0.06193267765671725
ETH-USD,3,0.0,0.056791990805927006
ETH-USD,3,0.25,0.057772623569632815
ETH-USD,3,0.5,0.05965279151749895
ETH-USD,3,0.75,0.060611192050064266
ETH-USD,3,1.0,0.06193267765671725
ETH-USD,5,0.0,0.05530908194228829
ETH-USD,5,0.25,0.0567473721037961
ETH-USD,5,0.5,0.05947859081057861
ETH-USD,5,0.75,0.06000621343116633
ETH-USD,5,1.0,0.06193267765671725
ETH-USD,8,0.0,0.05441798947386242
ETH-USD,8,0.25,0.05511616397305738
ETH-USD,8,0.5,0.05854103814488365
ETH-USD,8,0.75,0.059787745979214775
ETH-USD,8,1.0,0.06193267765671725
ETH-USD,12,0.0,0.04956212424040637
ETH-USD,12,0.25,0.051098062781080644
ETH-USD,12,0.5,0.05597476831153191
ETH-USD,12,0.75,0.058751520086207966
ETH-USD,12,1.0,0.06193267765671725
ETH-USD,18,0.0,0.04752000776758338
ETH-USD,18,0.25,0.04938654578523111
ETH-USD,18,0.5,0.0745746997312245
ETH-USD,18,0.75,0.07787048942968511
ETH-USD,18,1.0,0.06193267765671725
ETH-USD,25,0.0,0.04616861654082128
ETH-USD,25,0.25,0.0492336766487641
ETH-USD,25,0.5,0.08740287239695782
ETH-USD,25,0.75,0.08836966770526551
ETH-USD,25,1.0,0.06193267765671725
ETH-USD,35,0.0,0.04548089159607218
ETH-USD,35,0.25,0.06972081706314047
ETH-USD,35,0.5,0.20185443882712428
ETH-USD,35,0.75,0.20289383074479028
ETH-USD,35,1.0,0.06193267765671725
ETH-USD,50,0.0,0.055888694967375835
ETH-USD,50,0.25,0.04826180027201509
