ticker,n_mu,x,payoff_ratio
SLV,25,0.25,1.256782194913833
SLV,25,0.5,1.321381251239415
SLV,25,0.75,1.3511903945267332
SLV,25,1.0,1.3673890864446694
SLV,35,0.0,1.2194544046877593
SLV,35,0.25,1.260964959117106
SLV,35,0.5,1.300591686200244
SLV,35,0.75,1.3520640339699515
SLV,35,1.0,1.3673890864446694
SLV,50,0.0,1.1988959713857719
SLV,50,0.25,1.2632803038560212
SLV,50,0.5,1.2944038323911122
SLV,50,0.75,1.3443701847578675
SLV,50,1.0,1.3673890864446694
