ticker,n_mu,x,sharpe
ETH-USD,5,0.25,0.8837415645571557
ETH-USD,5,0.5,0.9103997096859432
ETH-USD,5,0.75,0.9404864790911008
ETH-USD,5,1.0,0.9419852061999959
ETH-USD,8,0.0,0.8031240131489916
ETH-USD,8,0.25,0.848003343466314
ETH-USD,8,0.5,0.8643751480545858
ETH-USD,8,0.75,0.8774303912229873
ETH-USD,8,1.0,0.9419852061999959
ETH-USD,12,0.0,0.8125840503506029
ETH-USD,12,0.25,0.8285059051948637
ETH-USD,12,0.5,0.8348196924339032
ETH-USD,12,0.75,0.8434684523247484
ETH-USD,12,1.0,0.9419852061999959
ETH-USD,18,0.0,0.7782460878824997
ETH-USD,18,0.25,0.8266166051837506
ETH-USD,18,0.5,0.652143966871014
ETH-USD,18,0.75,0.6836640718834728
ETH-USD,18,1.0,0.9419852061999959
ETH-USD,25,0.0,0.7395887499115638
ETH-USD,25,0.25,0.7349065728667364
ETH-USD,25,0.5,0.6249051813455365
ETH-USD,25,0.75,0.6853990057810299
ETH-USD,25,1.0,0.9419852061999959
ETH-USD,35,0.0,0.6275274733560164
ETH-USD,35,0.25,0.45711303068889547
ETH-USD,35,0.5,0.4286095981168018
ETH-USD,35,0.75,0.5106489102894057
ETH-USD,35,1.0,0.9419852061999959
ETH-USD,50,0.0,0.5583431928774746
ETH-USD,50,0.25,0.6554648071452439
ETH-USD,50,0.5,0.6812079270520792
ETH-USD,50,0.75,0.8435715409454371
ETH-USD,50,1.0,0.9419852061999959
GLD,1,0.0,0.6520822589813084
GLD,1,0.25,0.650756541779514
GLD,1,0.5,0.689656797558745
GLD,1,0.75,0.6945949335624215
GLD,1,1.0,0.6725760360751355
GLD,3,0.0,0.610470290412681
GLD,3,0.25,0.6153168639428639
GLD,3,0.5,0.6770629973158441
GLD,3,0.75,0.6758848833300813
GLD,3,1.0,0.6725760360751355
GLD,5,0.0,0.6285580962410848
GLD,5,0.25,0.6033900622172484
GLD,5,0.5,0.6513136021953629
GLD,5,0.75,0.6593582978398226
GLD,5,1.0,0.6725760360751355
GLD,8,0.0,0.5661084564889346
GLD,8,0.25,0.5371519300058005
GLD,8,0.5,0.6152193276312031
GLD,8,0.75,0.6364504746822287
GLD,8,1.0,0.6725760360751355
GLD,12,0.0,0.6023391444803275
GLD,12,0.25,0.5394495162317655
GLD,12,0.5,0.6004907260962195
GLD,12,0.75,0.5958084621560793
GLD,12,1.0,0.6725760360751355
GLD,18,0.0,0.5244048331706554
GLD,18,0.25,0.4666607593344128
GLD,18,0.5,0.5731099582489915
GLD,18,0.75,0.5555765276941821
GLD,18,1.0,0.6725760360751355
GLD,25,0.0,0.4759685914529512
GLD,25,0.25,0.4474302248099465
GLD,25,0.5,0.5751494763825334
GLD,25,0.75,0.5730467845764254
GLD,25,1.0,0.6725760360751355
GLD,35,0.0,0.4291592614192034
GLD,35,0.25,0.3439008933328842
GLD,35,0.5,0.5405016719988041
GLD,35,0.75,0.5547491543309059
GLD,35,1.0,0.6725760360751355
GLD,50,0.0,0.4754684603881436
GLD,50,0.25,0.4206160139988775
GLD,50,0.5,0.5555171445100272
GLD,50,0.75,0.5343689221828866
GLD,50,1.0,0.6725760360751355
SLV,1,0.0,0.46428060597201276
SLV,1,0.25,0.4559370052633538
