ticker,n_mu,x,profit_factor
SLV,12,0.0,1.2772180368966723
SLV,12,0.25,1.2828779385936964
SLV,12,0.5,1.305292264670362
SLV,12,0.75,1.3237761289243875
SLV,12,1.0,1.3313928823543992
SLV,18,0.0,1.2689333139213417
SLV,18,0.25,1.278428689966067
SLV,18,0.5,1.2893425787255701
SLV,18,0.75,1.3180081318866466
SLV,18,1.0,1.3313928823543992
SLV,25,0.0,1.2180073751622358
SLV,25,0.25,1.2164110584967924
SLV,25,0.5,1.2771089408793694
SLV,25,0.75,1.311726890776973
SLV,25,1.0,1.3313928823543992
SLV,35,0.0,1.2266682093894719
SLV,35,0.25,1.2169416064403007
SLV,35,0.5,1.2741947506489921
SLV,35,0.75,1.3187576256792273
SLV,35,1.0,1.3313928823543992
SLV,50,0.0,1.183890263792816
SLV,50,0.25,1.2334747300187796
SLV,50,0.5,1.2751058588832684
SLV,50,0.75,1.316158800149983
SLV,50,1.0,1.3313928823543992
